Time [ms],CPU usage [%],Used [B]
"5:12:09.499 PM, Mar 2, 2025",19.7,"281,382,360"
"5:12:10.500 PM, Mar 2, 2025",3.6,"195,547,736"
"5:12:11.501 PM, Mar 2, 2025",1.8,"220,713,560"
"5:12:12.501 PM, Mar 2, 2025",0.8,"247,976,536"
"5:12:13.502 PM, Mar 2, 2025",4.3,"325,571,160"
"5:12:14.502 PM, Mar 2, 2025",10,"195,651,472"
"5:12:15.509 PM, Mar 2, 2025",2.6,"233,400,208"
"5:12:16.505 PM, Mar 2, 2025",0.1,"235,497,360"
"5:12:17.506 PM, Mar 2, 2025",0,"239,691,664"
"5:12:18.511 PM, Mar 2, 2025",0,"241,788,816"
"5:12:19.512 PM, Mar 2, 2025",0.1,"245,983,120"
"5:12:20.513 PM, Mar 2, 2025",0,"248,080,272"
"5:12:21.515 PM, Mar 2, 2025",0,"252,274,576"
"5:12:22.516 PM, Mar 2, 2025",0.1,"254,371,728"
"5:12:23.516 PM, Mar 2, 2025",0,"256,468,880"
"5:12:24.517 PM, Mar 2, 2025",0,"260,663,184"
"5:12:25.519 PM, Mar 2, 2025",0,"262,760,336"
"5:12:26.519 PM, Mar 2, 2025",0,"266,954,640"
"5:12:27.519 PM, Mar 2, 2025",0,"269,051,792"
"5:12:28.525 PM, Mar 2, 2025",0,"273,246,096"
"5:12:29.521 PM, Mar 2, 2025",0,"275,343,248"
"5:12:30.521 PM, Mar 2, 2025",0,"279,537,552"
"5:12:31.522 PM, Mar 2, 2025",0,"281,634,704"
"5:12:32.523 PM, Mar 2, 2025",0,"285,829,008"
"5:12:33.523 PM, Mar 2, 2025",0,"287,926,160"
