Time [ms],CPU usage [%],Used [B]
"4:59:18.661 PM, Mar 2, 2025",52.1,"289,729,176"
"4:59:19.661 PM, Mar 2, 2025",53.6,"160,174,144"
"4:59:20.664 PM, Mar 2, 2025",51.6,"297,191,872"
"4:59:21.809 PM, Mar 2, 2025",75.2,"311,517,200"
"4:59:22.754 PM, Mar 2, 2025",68.1,"201,326,592"
"4:59:23.811 PM, Mar 2, 2025",85.7,"348,127,232"
"4:59:24.879 PM, Mar 2, 2025",45.8,"281,709,488"
"4:59:25.813 PM, Mar 2, 2025",49.1,"359,431,096"
"4:59:26.813 PM, Mar 2, 2025",69.6,"329,144,768"
"4:59:27.988 PM, Mar 2, 2025",64.8,"408,836,544"
"4:59:29.345 PM, Mar 2, 2025",77.2,"280,739,984"
"4:59:30.178 PM, Mar 2, 2025",26.3,"471,580,816"
"4:59:31.179 PM, Mar 2, 2025",6.2,"451,018,472"
"4:59:32.180 PM, Mar 2, 2025",1.3,"478,281,448"
"4:59:33.182 PM, Mar 2, 2025",1,"503,447,272"
"4:59:34.183 PM, Mar 2, 2025",1.5,"220,866,696"
"4:59:35.183 PM, Mar 2, 2025",0.9,"246,032,520"
"4:59:36.185 PM, Mar 2, 2025",0.9,"271,198,344"
"4:59:37.185 PM, Mar 2, 2025",0.9,"296,364,168"
"4:59:38.186 PM, Mar 2, 2025",0.9,"323,627,144"
"4:59:39.187 PM, Mar 2, 2025",0.7,"348,792,968"
"4:59:40.187 PM, Mar 2, 2025",0.5,"373,958,792"
"4:59:41.188 PM, Mar 2, 2025",1.1,"401,221,768"
"4:59:42.189 PM, Mar 2, 2025",0.7,"426,387,592"
"4:59:43.190 PM, Mar 2, 2025",0.9,"451,553,416"
"4:59:44.190 PM, Mar 2, 2025",0.9,"478,816,392"
